Sequence,Stop Name,Stop Coordinate,Check Time,Log Coordinate,Distance,S
33,SEK. MEN . KEB. TAMAN SEA – JLN SS 2/3,"3.1106107, 101.6149735",2019-06-08 02:36:38,"3.11001, 101.616325",164 meter,32
1,LRT TMN BAHAGIA,"3.11068977010887, 101.612747206455",2019-06-08 02:00:58,"3.1110874, 101.6122197",73 meter,Sequence
2,RUMAH NO. 57 – JLN SS4A/1,"3.10767533424092, 101.611201364536",2019-06-08 02:02:46,"3.1091217, 101.6114617",163 meter,1
3,PETRONAS (OPP ) – JLN SS4B/10,"3.10790754483897, 101.60644396198",2019-06-08 02:04:51,"3.1073883, 101.6081467",198 meter,2
4,RUMAH NO. 28/TOP SPEED – JLN SS4B/10,"3.10946518685449, 101.603688366379",2019-06-08 02:05:46,"3.1093967, 101.6047483",118 meter,3
5,KUARTERS  PDRM – JLN SS4B/10,"3.10945518937511, 101.599495808303",2019-06-08 02:06:11,"3.1094917, 101.60116",185 meter,4
6,SEK MEN KELANA JAYA – LDP,"3.10875312257981, 101.596062492728",2019-06-08 02:06:41,"3.10952, 101.59655",101 meter,5
7,SS6 KELANA PARK VIEW,"3.101688, 101.600003",2019-06-08 02:08:16,"3.1014267, 101.5984883",171 meter,6
8,P’PURI PKNS/JEJARI RESTORAN – JLN SS6/3,"3.10229623315117, 101.600390567679",2019-06-08 02:09:01,"3.1019033, 101.6005417",47 meter,7
9,DATARAN GLOMAC - JLN SS6/3,"3.10355294777375, 101.600324352665",2019-06-08 02:09:21,"3.103965, 101.6003917",46 meter,8
10,P’RAYA GIANT/PERUMAHAN POLIS – JLN SS5/2,"3.10502300000004, 101.600682",2019-06-08 02:09:31,"3.104785, 101.6003317",47 meter,9
11,SEK KEB KELANA JAYA – JLN SS5/2,"3.104795, 101.607201",2019-06-08 02:11:06,"3.10528, 101.6061",134 meter,10
12,RUMAH NO. 24 – JLN SS5/1,"3.10310809833283, 101.606752545247",2019-06-08 02:11:56,"3.1036217, 101.6070783",67 meter,11
13,7 ELEVEN - JLN SS5/1,"3.101065, 101.605479",2019-06-08 02:12:26,"3.1016467, 101.6058733",78 meter,12
14,RUMAH NO 159 (OPP)/JLN SS 5A/1,"3.09751891740636, 101.604446197537",2019-06-08 02:13:21,"3.0988733, 101.60394",160 meter,13
